"filename", "language", "JavaScript JSX", "TypeScript JSX", "JavaScript", "TypeScript", "CSS", "HTML", "JSON with Comments", "JSON", "XML", "Markdown", "comment", "blank", "total"
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/DB-DUMP-ADS.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 44260, 0, 0, 0, 0, 44260
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 35, 83
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/AdCard.jsx", "JavaScript JSX", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 128
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/AdGrid.jsx", "JavaScript JSX", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 9, 141
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/Layout.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/LoginButton.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 50
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/LogoutButton.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/Navigation.jsx", "JavaScript JSX", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 184
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/Search.jsx", "JavaScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 18
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/SearchForm.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 65
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/StripePricingTable.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/TopListVideoCard.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/VideoCard.jsx", "JavaScript JSX", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 195
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/components/VideoList.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/next.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 10528, 0, 0, 0, 1, 10529
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 43
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/_app.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/_document.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/auth/[...nextauth].js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 41, 11, 132
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/authMiddleware.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/create-checkout-session.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/db.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 14, 8, 104
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/dump.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/favorites.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 7, 15, 119
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/lib/mongoLogic.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 6, 27
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/lib/mongodb.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 7, 38
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/referral.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 7, 44
